"customer","quarter","purchase","ret_expense","male","married","income","first_purchase","loyalty","lag_purchase","avg_order_value"
1,2,1,31.0253185354574,1,0,1,33.55,1,1,324.67
1,3,1,32.5840106521019,1,0,1,33.55,1,1,318.4
1,4,1,43.3708194051782,1,0,1,33.55,1,1,303.9575
1,5,0,25.6487929765373,1,0,1,33.55,1,1,243.166
1,6,0,0,1,0,1,33.55,1,0,202.63833333
1,7,0,5.76574252736333,1,0,1,33.55,1,0,173.69
1,8,0,0,1,0,1,33.55,1,0,151.97875
1,9,0,0,1,0,1,33.55,1,0,135.09222222
1,10,0,0,1,0,1,33.55,1,0,121.583
1,11,0,0,1,0,1,33.55,1,0,110.53
2,2,0,1.8314419246906,1,0,0,94.01,1,1,43.815
2,3,0,0,1,0,0,94.01,1,0,29.21
2,4,0,0,1,0,0,94.01,1,0,21.9075
2,5,0,0,1,0,0,94.01,1,0,17.526
2,6,0,0,1,0,0,94.01,1,0,14.605
2,7,0,0,1,0,0,94.01,1,0,12.518571429
2,8,0,0,1,0,0,94.01,1,0,10.95375
2,9,0,0,1,0,0,94.01,1,0,9.7366666667
2,10,0,0,1,0,0,94.01,1,0,8.763
2,11,0,0,1,0,0,94.01,1,0,7.9663636364
3,2,0,8.30227121647744,1,0,0,157.55,1,1,178.4
3,3,0,0,1,0,0,157.55,1,0,118.93333333
3,4,0,0,1,0,0,157.55,1,0,89.2
3,5,0,0,1,0,0,157.55,1,0,71.36
3,6,1,0,1,0,0,157.55,1,0,82.391666667
3,7,0,3.60738228601346,1,0,0,157.55,1,1,70.621428571
3,8,0,0,1,0,0,157.55,1,0,61.79375
3,9,0,0,1,0,0,157.55,1,0,54.927777778
3,10,0,0,1,0,0,157.55,1,0,49.435
3,11,0,0,1,0,0,157.55,1,0,44.940909091
4,2,1,20.5438202048544,0,0,0,211.49,0,1,179.875
4,3,1,21.914085833586,0,0,0,211.49,0,1,194.57333333
4,4,1,23.8455798916314,0,0,0,211.49,0,1,218.3925
4,5,1,24.8886847449221,0,0,0,211.49,0,1,234.922
4,6,1,23.6344759382964,0,0,0,211.49,0,1,260.36
4,7,1,23.1366322341908,0,0,0,211.49,0,1,270.43428571
4,8,1,22.5519261911119,0,0,0,211.49,0,1,269.90875
4,9,1,19.5811392673831,0,0,0,211.49,0,1,263.49111111
4,10,1,22.2520810565421,0,0,0,211.49,0,1,257.361
4,11,1,13.6913868517977,0,0,0,211.49,0,1,247.72090909
5,2,1,34.0513524257567,0,0,1,165.22,1,1,236.48
5,3,1,15.4584533056203,0,0,1,165.22,1,1,217.54333333
5,4,1,23.0974498782485,0,0,1,165.22,1,1,239.16
5,5,1,23.1028529223034,0,0,1,165.22,1,1,242.92
5,6,1,34.8818277314428,0,0,1,165.22,1,1,268.325
5,7,1,29.8624979551307,0,0,1,165.22,1,1,276.84714286
5,8,1,34.6420535078635,0,0,1,165.22,1,1,297.01
5,9,1,32.0253465755831,0,0,1,165.22,1,1,291.65333333
5,10,1,32.3157966675732,0,0,1,165.22,1,1,294.905
5,11,1,41.8522881516975,0,0,1,165.22,1,1,292.04363636
6,2,1,40.263722488591,0,1,1,138.77,0,1,276.855
6,3,1,16.0200778262298,0,1,1,138.77,0,1,253.66
6,4,1,30.4510799846782,0,1,1,138.77,0,1,249.4775
6,5,1,28.3147015672592,0,1,1,138.77,0,1,258.54
6,6,1,29.3476256733542,0,1,1,138.77,0,1,261.77166667
6,7,1,29.8938906013368,0,1,1,138.77,0,1,256.78142857
6,8,1,25.2040884081963,0,1,1,138.77,0,1,269.13125
6,9,1,26.4940243807135,0,1,1,138.77,0,1,270.01444444
6,10,1,20.9874587135796,0,1,1,138.77,0,1,264.114
6,11,1,21.304287287736,0,1,1,138.77,0,1,269.85090909
7,2,0,5.49725754093599,0,0,1,98.36,0,1,49.75
7,3,0,0,0,0,1,98.36,0,0,33.166666667
7,4,0,0,0,0,1,98.36,0,0,24.875
7,5,0,0,0,0,1,98.36,0,0,19.9
7,6,0,0,0,0,1,98.36,0,0,16.583333333
7,7,0,0,0,0,1,98.36,0,0,14.214285714
7,8,0,0,0,0,1,98.36,0,0,12.4375
7,9,0,0,0,0,1,98.36,0,0,11.055555556
7,10,0,0,0,0,1,98.36,0,0,9.95
7,11,0,0,0,0,1,98.36,0,0,9.0454545455
8,2,0,0,0,0,0,169.44,0,1,75.76
8,3,1,0,0,0,0,169.44,0,0,69.163333333
8,4,0,0,0,0,0,169.44,0,1,51.8725
8,5,0,0,0,0,0,169.44,0,0,41.498
8,6,0,0,0,0,0,169.44,0,0,34.581666667
8,7,0,0,0,0,0,169.44,0,0,29.641428571
8,8,0,0,0,0,0,169.44,0,0,25.93625
8,9,0,0,0,0,0,169.44,0,0,23.054444444
8,10,0,0,0,0,0,169.44,0,0,20.749
8,11,0,0,0,0,0,169.44,0,0,18.862727273
9,2,1,31.8933622136013,1,1,0,126.38,0,1,354.825
9,3,1,36.4503213997581,1,1,0,126.38,0,1,306.83666667
9,4,0,26.1459221266313,1,1,0,126.38,0,1,230.1275
9,5,0,0,1,1,0,126.38,0,0,184.102
9,6,0,0,1,1,0,126.38,0,0,153.41833333
9,7,0,0,1,1,0,126.38,0,0,131.50142857
9,8,0,0,1,1,0,126.38,0,0,115.06375
9,9,0,0,1,1,0,126.38,0,0,102.27888889
9,10,0,0,1,1,0,126.38,0,0,92.051
9,11,0,0,1,1,0,126.38,0,0,83.682727273
10,2,1,15.4720486099136,0,1,1,121.26,0,1,218.67
10,3,1,23.1633852049879,0,1,1,121.26,0,1,264.27
10,4,1,28.3266938501665,0,1,1,121.26,0,1,250.89
10,5,1,24.3323248958509,0,1,1,121.26,0,1,246.984
10,6,1,22.667423401316,0,1,1,121.26,0,1,239.00333333
10,7,1,18.7946757837433,0,1,1,121.26,0,1,241.96428571
10,8,1,25.678908041089,0,1,1,121.26,0,1,246.4425
10,9,1,20.2283123222405,0,1,1,121.26,0,1,244.18333333
10,10,1,13.679684886185,0,1,1,121.26,0,1,241.126
10,11,0,20.0597487870336,0,1,1,121.26,0,1,219.20545455
11,2,1,12.2458797242463,1,0,1,54.92,1,1,166.985
11,3,1,22.7766270042023,1,0,1,54.92,1,1,185.69
11,4,1,9.35675182032254,1,0,1,54.92,1,1,203.675
11,5,1,20.8602661925582,1,0,1,54.92,1,1,208.396
11,6,1,27.8408339805619,1,0,1,54.92,1,1,232.995
11,7,1,30.3015531292471,1,0,1,54.92,1,1,266.18857143
11,8,1,31.5570495923155,1,0,1,54.92,1,1,288.025
11,9,1,26.124432887029,1,0,1,54.92,1,1,286.29444444
11,10,1,23.987781506559,1,0,1,54.92,1,1,280.688
11,11,1,22.6330191550719,1,0,1,54.92,1,1,279.57454545
12,2,1,7.43226750546509,0,0,1,60.82,1,1,140.515
12,3,1,12.0599753098362,0,0,1,60.82,1,1,152.41
12,4,1,14.2900096486476,0,0,1,60.82,1,1,157.31
12,5,1,30.1636394265663,0,0,1,60.82,1,1,167.08
12,6,0,9.34693710551431,0,0,1,60.82,1,1,139.23333333
12,7,0,0,0,0,1,60.82,1,0,119.34285714
12,8,0,0,0,0,1,60.82,1,0,104.425
12,9,0,0,0,0,1,60.82,1,0,92.822222222
12,10,0,0,0,0,1,60.82,1,0,83.54
12,11,0,0,0,0,1,60.82,1,0,75.945454545
13,2,1,21.8410693886147,0,0,0,133.75,1,1,218.55
13,3,1,22.0671467047654,0,0,0,133.75,1,1,247.44666667
13,4,1,10.2710910666501,0,0,0,133.75,1,1,244.2775
13,5,1,34.6218008582983,0,0,0,133.75,1,1,261.41
13,6,1,16.4286948052517,0,0,0,133.75,1,1,261
13,7,1,34.1448327179424,0,0,0,133.75,1,1,280.24142857
13,8,1,42.9860215025042,0,0,0,133.75,1,1,285.71
13,9,1,19.0372133357411,0,0,0,133.75,1,1,281.73333333
13,10,1,33.0343653104695,0,0,0,133.75,1,1,273.223
13,11,1,25.5561134044329,0,0,0,133.75,1,1,267.14454545
14,2,1,10.6937241637465,0,0,0,162.39,0,1,237.295
14,3,1,10.2168177615777,0,0,0,162.39,0,1,238.38666667
14,4,1,16.3337060787288,0,0,0,162.39,0,1,226.9225
14,5,1,10.9053790164868,0,0,0,162.39,0,1,235.974
14,6,1,28.335551964165,0,0,0,162.39,0,1,255.80166667
14,7,1,38.5705303135232,0,0,0,162.39,0,1,258.71142857
14,8,1,13.4859175335766,0,0,0,162.39,0,1,247.27125
14,9,1,27.7936680171114,0,0,0,162.39,0,1,245.47666667
14,10,1,27.0256302941455,0,0,0,162.39,0,1,240.174
14,11,1,22.8910871078314,0,0,0,162.39,0,1,231.21363636
15,2,1,27.4364430169917,0,1,1,112.12,0,1,265.405
15,3,0,15.6796049266462,0,1,1,112.12,0,1,176.93666667
15,4,0,0,0,1,1,112.12,0,0,132.7025
15,5,0,0,0,1,1,112.12,0,0,106.162
15,6,0,0,0,1,1,112.12,0,0,88.468333333
15,7,0,0,0,1,1,112.12,0,0,75.83
15,8,0,0,0,1,1,112.12,0,0,66.35125
15,9,0,0,0,1,1,112.12,0,0,58.978888889
15,10,0,0,0,1,1,112.12,0,0,53.081
15,11,0,1.82068450262781,0,1,1,112.12,0,0,48.255454545
16,2,0,4.38218224840038,0,0,1,165.13,0,1,57.82
16,3,0,0,0,0,1,165.13,0,0,38.546666667
16,4,0,0,0,0,1,165.13,0,0,28.91
16,5,0,0,0,0,1,165.13,0,0,23.128
16,6,0,0,0,0,1,165.13,0,0,19.273333333
16,7,1,0,0,0,1,165.13,0,0,34.078571429
16,8,0,0,0,0,1,165.13,0,1,29.81875
16,9,0,0,0,0,1,165.13,0,0,26.505555556
16,10,0,0,0,0,1,165.13,0,0,23.855
16,11,0,0,0,0,1,165.13,0,0,21.686363636
17,2,0,6.74681920996398,0,0,1,155.1,1,1,75.15
17,3,0,0,0,0,1,155.1,1,0,50.1
17,4,0,0,0,0,1,155.1,1,0,37.575
17,5,0,0,0,0,1,155.1,1,0,30.06
17,6,0,0,0,0,1,155.1,1,0,25.05
17,7,0,0,0,0,1,155.1,1,0,21.471428571
17,8,0,0,0,0,1,155.1,1,0,18.7875
17,9,0,0,0,0,1,155.1,1,0,16.7
17,10,0,0,0,0,1,155.1,1,0,15.03
17,11,0,0,0,0,1,155.1,1,0,13.663636364
18,2,0,4.43338241314299,1,0,0,216.92,0,1,102.37
